block,task_id,family,n,comparator,budget,field,log_ratio,absolute_r_difference,rank_r,baseline_r,matched_seed_pairs
1,test_ba_50_05,ba,50,selected_regression,192,best_r,0.017817027413873397,0.005100000000000012,0.28683333333333333,0.28173333333333334,6
1,test_ba_50_06,ba,50,selected_regression,192,best_r,-0.004028555214595819,-0.001266666666666666,0.3159,0.31716666666666665,6
1,test_ba_50_07,ba,50,selected_regression,192,best_r,0.011090335763044405,0.002966666666666673,0.2687333333333333,0.26576666666666665,6
1,test_er_100_00,er,100,selected_regression,192,best_r,0.0006918148014956029,0.00022916666666666918,0.33493749999999994,0.33470833333333333,6
1,test_er_100_01,er,100,selected_regression,192,best_r,0.0072614555189904305,0.0025041666666666498,0.3453958333333333,0.34289166666666665,6
1,test_er_100_02,er,100,selected_regression,192,best_r,0.002767985707273754,0.0009291666666666661,0.33210833333333334,0.33117916666666664,6
1,test_er_100_03,er,100,selected_regression,192,best_r,-0.006465982018974761,-0.002120833333333331,0.3268125,0.32893333333333336,6
1,test_er_100_04,er,100,selected_regression,192,best_r,-0.0011038636243669421,-0.00034583333333331373,0.32558333333333334,0.32592916666666666,6
1,test_er_100_05,er,100,selected_regression,192,best_r,-0.0025877951068633393,-0.0008499999999999897,0.32774583333333335,0.32859583333333336,6
1,test_er_100_06,er,100,selected_regression,192,best_r,0.0038080898458214504,0.0012583333333333335,0.333075,0.3318166666666667,6
1,test_er_100_07,er,100,selected_regression,192,best_r,0.005972284859888748,0.0019416666666666749,0.32640416666666666,0.3244625,6
1,test_er_50_00,er,50,selected_regression,192,best_r,-0.004863309122321631,-0.001666666666666668,0.3405333333333333,0.3422,6
1,test_er_50_01,er,50,selected_regression,192,best_r,0.0062344101548170066,0.0022000000000000166,0.3530166666666667,0.3508166666666667,6
1,test_er_50_02,er,50,selected_regression,192,best_r,0.010686922578030474,0.0036666666666666605,0.34369999999999995,0.34003333333333335,6
1,test_er_50_03,er,50,selected_regression,192,best_r,0.004361829339958172,0.0015000000000000107,0.3444833333333333,0.34298333333333336,6
