block,task_id,family,n,method,model_seed,search_seed,budget,best_r,fresh_r
0,test_ba_100_02,ba,100,global_mse,23,101,96,0.23455,0.229015625
0,test_ba_100_02,ba,100,global_mse,23,101,192,0.251775,0.246871875
0,test_ba_100_02,ba,100,global_mse,23,202,96,0.220825,0.2157375
0,test_ba_100_02,ba,100,global_mse,23,202,192,0.238825,0.22983125
0,test_ba_100_02,ba,100,global_mse,23,303,96,0.2188,0.2136125
0,test_ba_100_02,ba,100,global_mse,23,303,192,0.23475,0.232628125
0,test_ba_100_02,ba,100,hillclimb,-1,101,96,0.2269,0.221696875
0,test_ba_100_02,ba,100,hillclimb,-1,101,192,0.2317,0.2292
0,test_ba_100_02,ba,100,hillclimb,-1,202,96,0.22925,0.2271875
0,test_ba_100_02,ba,100,hillclimb,-1,202,192,0.238675,0.233246875
0,test_ba_100_02,ba,100,hillclimb,-1,303,96,0.227,0.221740625
0,test_ba_100_02,ba,100,hillclimb,-1,303,192,0.2362,0.2300375
0,test_ba_100_02,ba,100,log_mse,17,101,96,0.2201,0.2193625
0,test_ba_100_02,ba,100,log_mse,17,101,192,0.23325,0.228190625
0,test_ba_100_02,ba,100,log_mse,17,202,96,0.220525,0.22174375
0,test_ba_100_02,ba,100,log_mse,17,202,192,0.234375,0.230421875
0,test_ba_100_02,ba,100,log_mse,17,303,96,0.22495,0.2223125
0,test_ba_100_02,ba,100,log_mse,17,303,192,0.235425,0.22885
0,test_ba_100_02,ba,100,log_mse,23,101,96,0.22805,0.223809375
0,test_ba_100_02,ba,100,log_mse,23,101,192,0.245675,0.241978125
0,test_ba_100_02,ba,100,log_mse,23,202,96,0.2224,0.2240125
0,test_ba_100_02,ba,100,log_mse,23,202,192,0.233125,0.22996875
0,test_ba_100_02,ba,100,log_mse,23,303,96,0.224375,0.2172875
0,test_ba_100_02,ba,100,log_mse,23,303,192,0.2338,0.22895
0,test_ba_100_02,ba,100,mse,17,101,96,0.235425,0.2333375
0,test_ba_100_02,ba,100,mse,17,101,192,0.24265,0.238203125
0,test_ba_100_02,ba,100,mse,17,202,96,0.2263,0.223965625
0,test_ba_100_02,ba,100,mse,17,202,192,0.2322,0.2312
0,test_ba_100_02,ba,100,mse,17,303,96,0.224775,0.221121875
0,test_ba_100_02,ba,100,mse,17,303,192,0.23665,0.232221875
0,test_ba_100_02,ba,100,mse,23,101,96,0.23285,0.230403125
0,test_ba_100_02,ba,100,mse,23,101,192,0.24695,0.24301875
0,test_ba_100_02,ba,100,mse,23,202,96,0.2226,0.22395625
0,test_ba_100_02,ba,100,mse,23,202,192,0.229325,0.227846875
0,test_ba_100_02,ba,100,mse,23,303,96,0.21835,0.217565625
